符合條件商品
資料日期：2026年  7月 17日
策略,	Total pool
"序號","代碼","商品","成交","漲幅%","總量","總市值(元)",月營收年增率
91	,"1456.TW","怡華","14","0.36","102","1312000000",-63.28
92	,"1457.TW","宜進","14.25","-1.04","66","4513000000",-2.3
93	,"1459.TW","聯發","11.7","0","86","4195000000",-10
94	,"1460.TW","宏遠","7.05","-0.14","869","4897000000",0.51
95	,"1463.TW","強盛新","17.65","-0.28","107","3058000000",19.23
96	,"1464.TW","得力","10.6","-1.43","736","4511000000",2.06
97	,"1465.TW","偉全","12.9","-1.53","95","1336000000",-8.16
98	,"1466.TW","聚隆","17.1","-8.56","1231","1900000000",-25.76
99	,"1467.TW","南緯","8.7","-2.79","693","1463000000",24.38
100	,"1468.TW","昶和","13.6","7.51","79","2181000000",-16.76
101	,"1470.TW","大統新創","23.1","0.43","34","1981000000",10.84
102	,"1471.TW","首利","9.76","-2.89","776","1419000000",-42.2
103	,"1472.TW","三洋實業","88.7","-1","192","4655000000",13
104	,"1473.TW","台南","20","-0.99","61","2923000000",-0.86
105	,"1474.TW","弘裕","10.45","-1.42","100","1357000000",-6
106	,"1475.TW","業旺","27.3","0","11","1802000000",5.17
107	,"1476.TW","儒鴻","333.5","-1.62","1990","91501000000",14.42
108	,"1477.TW","聚陽","216","-1.59","2094","53285000000",0.53
109	,"1503.TW","士電","194","-4.9","3642","101068000000",-10.58
110	,"1504.TW","東元","66.8","-4.43","13758","158746000000",0.15
111	,"1506.TW","正道","11.25","2.74","1186","1849000000",20.3
112	,"1512.TW","瑞利","6.75","-0.59","42","662000000",-11.36
113	,"1513.TW","中興電","158.5","-5.09","5266","79743000000",8.31
114	,"1514.TW","亞力","102.5","-3.76","3809","27993000000",39.69
115	,"1515.TW","力山","40.95","-8.7","2602","7431000000",6.37
116	,"1516.TW","川飛","16.4","-5.75","40","656000000",59.91
117	,"1517.TW","利奇","12.15","0.41","12511","2673000000",19.79
118	,"1519.TW","華城","655","-5.21","2551","206901000000",-25.78
119	,"1521.TW","大億","25.6","-0.78","36","1951000000",7.15
120	,"1522.TW","堤維西","28.95","-1.53","795","9058000000",70.02
121	,"1524.TW","耿鼎","26.6","-2.92","720","4397000000",9.81
122	,"1525.TW","江申","68","1.64","34","4991000000",27.55
123	,"1526.TW","日馳","17.25","9.87","4027","1035000000",-24.04
124	,"1527.TW","鑽全","33.55","-1.76","205","4649000000",0.3
125	,"1528.TW","恩德","20.15","-6.71","2239","3855000000",22.55
126	,"1529.TW","樂事綠能","20.25","-1.46","676","3140000000",4.51
127	,"1530.TW","亞崴","29.6","-1.5","53","2799000000",-18.51
128	,"1531.TW","高林股","12.9","-1.53","198","2349000000",45.37
129	,"1532.TW","勤美","23.1","-1.91","595","9762000000",20.39
130	,"1533.TW","車王電","32.95","-3.09","193","3247000000",30.98
131	,"1535.TW","中宇","50","-0.4","109","6187000000",-32.52
132	,"1536.TW","和大","49.45","-6.34","2941","13794000000",3.82
133	,"1537.TW","廣隆","125","-1.19","322","10257000000",14.05
134	,"1538.TW","正峰","10.25","0","0","331000000",-5.43
135	,"1539.TW","巨庭","16.3","-3.83","340","1065000000",-13.23
136	,"1540.TW","喬福","21.65","-3.56","823","1850000000",-51.18
137	,"1541.TW","錩泰","22","-2.22","9","1733000000",-46.46
138	,"1558.TW","伸興","93.1","-1.59","106","6008000000",7.56
139	,"1560.TW","中砂","656","-9.89","1887","97694000000",16.39
140	,"1563.TW","巧新","61","-6.3","2526","13762000000",21.46
141	,"1565.TW","精華","93.4","-2.51","208","4708000000",-16.8
142	,"1568.TW","倉佑","30.3","-4.57","540","3123000000",18.2
143	,"1569.TW","濱川","43.65","-5.72","775","6296000000",-6.34
144	,"1570.TW","力肯","38.35","-1.41","307","1975000000",0.99
145	,"1580.TW","新麥","115","-1.29","125","5673000000",3.17
146	,"1582.TW","信錦","71.7","-6.4","1705","10344000000",-9.5
147	,"1583.TW","程泰","49.3","-1.79","50","5393000000",-11.32
148	,"1584.TW","精剛","19.25","-3.99","987","4475000000",-3.21
149	,"1586.TW","和勤","18","0","617","2373000000",25.16
150	,"1587.TW","吉茂","25.1","-4.02","625","2009000000",-11.61
151	,"1590.TW","亞德客-KY","1265","-6.3","893","252998000000",44.88
152	,"1593.TW","祺驊","29.9","-1.64","122","1189000000",5.33
153	,"1595.TW","川寶","59.5","-5.85","626","3270000000",27.9
154	,"1597.TW","直得","128","-7.58","1006","11425000000",45.25
155	,"1598.TW","岱宇","19.85","-2.22","342","3555000000",16.56
156	,"1599.TW","宏佳騰","23","-1.92","43","1679000000",11.52
157	,"1603.TW","華電","28.55","-2.89","564","5472000000",4.3
158	,"1604.TW","聲寶","23.3","-1.27","702","8951000000",6.76
159	,"1605.TW","華新","32.6","-6.19","28250","144461000000",29.34
160	,"1608.TW","華榮","32.25","-3.01","3339","20406000000",13.35
161	,"1609.TW","大亞","36.8","-4.66","6772","28897000000",22.67
162	,"1611.TW","中電","12.2","-3.56","829","3937000000",-11.41
163	,"1612.TW","宏泰","31.05","-2.05","1578","9814000000",-11.28
164	,"1614.TW","三洋電","31.4","0.16","98","8450000000",-2.65
165	,"1615.TW","大山","47.3","-0.11","287","9302000000",28.36
166	,"1616.TW","億泰","19.8","-4.12","1077","3844000000",32.05
167	,"1617.TW","榮星","21.55","-9.83","1113","3653000000",39.58
168	,"1618.TW","合機","37.35","-2.23","1021","7197000000",-37.72
169	,"1623.TW","大東電","217","-5.45","501","14322000000",13.63
170	,"1626.TW","艾美特-KY","10.1","-2.42","39","1513000000",5.04
171	,"1702.TW","南僑","33.9","0.74","561","9971000000",2.76
172	,"1707.TW","葡萄王","90.9","-1.73","447","13465000000",-7.24
173	,"1708.TW","東鹼","52.5","-6.08","7383","13072000000",3.25
174	,"1709.TW","和益","26.05","-4.23","5891","12426000000",70.14
175	,"1710.TW","東聯","16.4","-6.29","20657","14525000000",-18.18
176	,"1711.TW","永光","39.55","-9.91","13069","21663000000",15.49
177	,"1712.TW","興農","39.5","-0.13","534","16609000000",4.08
178	,"1713.TW","國化","47.4","-1.66","206","7155000000",-7.68
179	,"1714.TW","和桐","15.3","-5.56","23016","15174000000",73.41
180	,"1717.TW","長興","64.5","-8.9","18723","76383000000",16.21
181	,"1718.TW","中纖","13.65","-6.83","10096","23012000000",1.92
